"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년(남)","1학년(여)","2학년(남)","2학년(여)","3학년(남)","3학년(여)","특수학급(남)","특수학급(여)","순회학급(남)","순회학급(여)","계(남)","계(여)","총계"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000735","청담중학교","03","공립","N","","80","73","46","48","74","70","0","0","0","0","200","191","391"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000736","휘문중학교","03","사립","N","","272","0","271","0","271","0","0","0","0","0","814","0","814"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000856","가락중학교","03","공립","N","","103","44","98","60","107","58","2","1","0","0","310","163","473"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000857","가원중학교","03","공립","N","","65","71","73","75","70","69","1","1","0","0","209","216","425"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000858","강일중학교","03","공립","N","","125","101","103","96","118","90","3","0","0","0","349","287","636"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000859","거원중학교","03","공립","N","","58","81","40","79","74","98","0","0","0","0","172","258","430"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000860","고덕중학교","03","공립","N","","253","223","252","201","257","198","4","1","0","0","766","623","1389"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000861","동북중학교","03","사립","N","","89","0","64","0","80","0","0","0","0","0","233","0","233"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000862","동신중학교","03","사립","N","","75","85","78","62","104","66","0","0","0","0","257","213","470"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000863","둔촌중학교","03","공립","N","","52","22","46","40","56","32","3","1","0","0","157","95","252"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000864","명일중학교","03","공립","N","","156","199","139","165","161","153","5","4","0","0","461","521","982"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000865","문정중학교","03","공립","N","","60","67","80","55","78","62","4","0","0","0","222","184","406"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000866","방산중학교","03","공립","N","","85","60","67","74","73","76","3","2","0","0","228","212","440"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000867","방이중학교","03","공립","N","","48","42","70","43","66","43","6","1","0","0","190","129","319"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000868","배명중학교","03","사립","N","","152","0","141","0","160","0","0","0","0","0","453","0","453"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000869","배재중학교","03","사립","N","","278","0","289","0","301","0","0","0","0","0","868","0","868"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000870","보성중학교","03","사립","N","","110","0","110","0","136","0","0","0","0","0","356","0","356"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000871","보인중학교","03","사립","N","","154","0","150","0","190","0","0","0","0","0","494","0","494"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000872","상일중학교","03","사립","N","","92","89","0","161","0","164","0","0","0","0","92","414","506"
