"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교육청금액","교육청비율","자치단체금액","자치단체비율","보호자금액","보호자비율","기타금액","기타비율","금액계","비율계"
"서울특별시교육청","교육부","서울특별시 성북구","S000003514","서울대학교사범대학부설중학교","03","국립","N","","343241","54.6","285452","45.4","0","0","","0","628693","100"
"서울특별시교육청","교육부","서울특별시 종로구","S000003562","서울대학교사범대학부설여자중학교","03","국립","N","","188730","50.1","188294","49.9","0","0","","0","377024","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000698","개원중학교","03","공립","N","","375746","51.6","351812","48.4","0","0","","0","727558","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000700","경원중학교","03","공립","N","","490233","50.1","460097","47","0","0","","2.9","978653","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000701","구룡중학교","03","공립","N","","389043","50.6","379337","49.4","0","0","","0","768380","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000702","압구정중학교","03","공립","N","","223468","51.8","207595","48.2","0","0","","0","431063","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000704","단국대학교사범대학부속중학교","03","사립","N","","550040","99.8","0","0","1073","0.2","","0","551113","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000705","대명중학교","03","공립","N","","314229","50","314227","50","0","0","","0","628456","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000706","대왕중학교","03","공립","N","","498896","54","424331","46","0","0","","0","923227","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000707","대청중학교","03","공립","N","","565208","58.5","401208","41.5","0","0","","0","966416","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000708","대치중학교","03","공립","N","","1953440","50","1953440","50","0","0","","0","3906880","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000709","도곡중학교","03","공립","N","","388313","51.8","361338","48.2","0","0","","0","749651","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000710","동덕여자중학교","03","사립","N","","487321","100","0","0","0","0","","0","487321","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000711","반포중학교","03","공립","N","","315119","60.5","205878","39.5","0","0","","0","520997","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000712","방배중학교","03","공립","N","","379601","54.3","270188","38.7","48913","7","","0","698702","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000713","봉은중학교","03","공립","N","","217821","55.7","172950","44.3","0","0","","0","390771","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000714","서문여자중학교","03","사립","N","","297549","51.4","257062","44.4","0","0","","4.2","578660","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000715","서운중학교","03","공립","N","","489470","48.9","489470","48.9","0","0","","2.1","1000135","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000716","서일중학교","03","공립","N","","378551","51.8","351812","48.2","0","0","","0","730363","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000717","서초중학교","03","공립","N","","517728","61.9","318831","38.1","0","0","","0","836559","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000718","세화여자중학교","03","사립","N","","515958","98.8","0","0","0","0","","1.2","522118","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000719","수서중학교","03","공립","N","","431098","61.1","274425","38.9","0","0","","0","705523","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000720","숙명여자중학교","03","사립","N","","457098","52.6","412583","47.4","0","0","","0","869681","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000721","신구중학교","03","공립","N","","219771","56.4","170052","43.6","0","0","","0","389823","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000722","신동중학교","03","공립","N","","466335","57.1","350029","42.9","0","0","","0","816364","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000723","신반포중학교","03","공립","N","","237929","50","237929","50","0","0","","0","475858","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000724","신사중학교","03","공립","N","","272981","58.1","197194","41.9","0","0","","0","470175","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000725","언남중학교","03","공립","N","","129025","44.4","126443","43.5","35143","12.1","","0","290611","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000726","언북중학교","03","공립","N","","330561","64.4","182699","35.6","0","0","","0","513260","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000727","언주중학교","03","공립","N","","928274","94.1","0","0","58612","5.9","","0","986886","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000728","역삼중학교","03","공립","N","","546933","52.1","444237","42.3","59571","5.7","","0","1050741","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000729","영동중학교","03","공립","N","","403809","50.4","397874","49.6","0","0","","0","801683","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000730","원촌중학교","03","공립","N","","565094","52.3","515693","47.7","0","0","","0","1080787","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000731","은성중학교","03","사립","N","","136931","50.5","133958","49.5","0","0","","0","270889","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000732","이수중학교","03","공립","N","","239424","62.3","145003","37.7","0","0","","0","384427","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000733","중동중학교","03","사립","N","","331947","53.4","289836","46.6","0","0","","0","621783","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000734","진선여자중학교","03","사립","N","","392546","47.9","387137","47.2","39885","4.9","","0","819568","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000735","청담중학교","03","공립","N","","69028","92.7","5474","7.3","0","0","","0","74502","100"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000736","휘문중학교","03","사립","N","","419862","52.6","378469","47.4","0","0","","0","798331","100"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000856","가락중학교","03","공립","N","","342242","57.6","251565","42.4","0","0","","0","593807","100"
